Equipment,func_loc_id,id
NO EQUIPMENT,299,1115
NO EQUIPMENT,300,1116
NO EQUIPMENT,277,1117
NO EQUIPMENT,274,1118
NO EQUIPMENT,271,1119
NO EQUIPMENT,269,1120
NO EQUIPMENT,267,1121
NO EQUIPMENT,265,1122
NO EQUIPMENT,264,1123
NO EQUIPMENT,247,1124
NO EQUIPMENT,245,1125
NO EQUIPMENT,244,1126
NO EQUIPMENT,243,1127
NO EQUIPMENT,234,1128
NO EQUIPMENT,230,1129
NO EQUIPMENT,229,1130
NO EQUIPMENT,228,1131
NO EQUIPMENT,155,1132
NO EQUIPMENT,449,1133
NO EQUIPMENT,450,1134
NO EQUIPMENT,451,1135
NO EQUIPMENT,452,1136
NO EQUIPMENT,453,1137
NO EQUIPMENT,141,1138
NO EQUIPMENT,301,1139
NO EQUIPMENT,302,1140
NO EQUIPMENT,303,1141
NO EQUIPMENT,304,1142
NO EQUIPMENT,305,1143
NO EQUIPMENT,306,1144
NO EQUIPMENT,307,1145
NO EQUIPMENT,233,1146
NO EQUIPMENT,454,1147
NO EQUIPMENT,455,1148
NO EQUIPMENT,456,1149
NO EQUIPMENT,457,1150
NO EQUIPMENT,458,1151
NO EQUIPMENT,140,1152
NO EQUIPMENT,308,1153
NO EQUIPMENT,309,1154
NO EQUIPMENT,310,1155
NO EQUIPMENT,311,1156
NO EQUIPMENT,312,1157
NO EQUIPMENT,313,1158
NO EQUIPMENT,314,1159
NO EQUIPMENT,232,1160
NO EQUIPMENT,459,1161
NO EQUIPMENT,460,1162
NO EQUIPMENT,461,1163
NO EQUIPMENT,462,1164
NO EQUIPMENT,463,1165
NO EQUIPMENT,315,1166
NO EQUIPMENT,316,1167
NO EQUIPMENT,317,1168
NO EQUIPMENT,318,1169
NO EQUIPMENT,319,1170
NO EQUIPMENT,320,1171
NO EQUIPMENT,321,1172
NO EQUIPMENT,231,1173
NO EQUIPMENT,464,1174
NO EQUIPMENT,465,1175
NO EQUIPMENT,466,1176
NO EQUIPMENT,467,1177
NO EQUIPMENT,468,1178
NO EQUIPMENT,134,1179
NO EQUIPMENT,256,1180
NO EQUIPMENT,255,1181
NO EQUIPMENT,254,1182
NO EQUIPMENT,190,1183
NO EQUIPMENT,322,1184
NO EQUIPMENT,323,1185
NO EQUIPMENT,324,1186
NO EQUIPMENT,325,1187
NO EQUIPMENT,326,1188
NO EQUIPMENT,263,1189
NO EQUIPMENT,253,1190
NO EQUIPMENT,161,1191
NO EQUIPMENT,188,1192
NO EQUIPMENT,327,1193
NO EQUIPMENT,328,1194
NO EQUIPMENT,329,1195
NO EQUIPMENT,330,1196
NO EQUIPMENT,331,1197
NO EQUIPMENT,262,1198
NO EQUIPMENT,252,1199
NO EQUIPMENT,160,1200
NO EQUIPMENT,187,1201
NO EQUIPMENT,185,1202
NO EQUIPMENT,184,1203
NO EQUIPMENT,183,1204
NO EQUIPMENT,182,1205
NO EQUIPMENT,131,1206
NO EQUIPMENT,128,1207
NO EQUIPMENT,126,1208
NO EQUIPMENT,125,1209
NO EQUIPMENT,123,1210
NO EQUIPMENT,121,1211
NO EQUIPMENT,120,1212
NO EQUIPMENT,332,1213
NO EQUIPMENT,333,1214
NO EQUIPMENT,334,1215
NO EQUIPMENT,335,1216
NO EQUIPMENT,336,1217
NO EQUIPMENT,215,1218
NO EQUIPMENT,337,1219
NO EQUIPMENT,338,1220
NO EQUIPMENT,339,1221
NO EQUIPMENT,340,1222
NO EQUIPMENT,341,1223
NO EQUIPMENT,214,1224
NO EQUIPMENT,164,1225
NO EQUIPMENT,342,1226
NO EQUIPMENT,343,1227
NO EQUIPMENT,344,1228
NO EQUIPMENT,345,1229
NO EQUIPMENT,179,1230
NO EQUIPMENT,346,1231
NO EQUIPMENT,347,1232
NO EQUIPMENT,348,1233
NO EQUIPMENT,349,1234
NO EQUIPMENT,350,1235
NO EQUIPMENT,351,1236
NO EQUIPMENT,352,1237
NO EQUIPMENT,353,1238
NO EQUIPMENT,354,1239
NO EQUIPMENT,355,1240
NO EQUIPMENT,275,1241
NO EQUIPMENT,272,1242
NO EQUIPMENT,261,1243
NO EQUIPMENT,251,1244
NO EQUIPMENT,159,1245
NO EQUIPMENT,178,1246
NO EQUIPMENT,356,1247
NO EQUIPMENT,357,1248
NO EQUIPMENT,358,1249
NO EQUIPMENT,359,1250
NO EQUIPMENT,360,1251
NO EQUIPMENT,260,1252
NO EQUIPMENT,250,1253
NO EQUIPMENT,158,1254
NO EQUIPMENT,180,1255
NO EQUIPMENT,361,1256
NO EQUIPMENT,362,1257
NO EQUIPMENT,363,1258
NO EQUIPMENT,364,1259
NO EQUIPMENT,365,1260
NO EQUIPMENT,259,1261
NO EQUIPMENT,249,1262
NO EQUIPMENT,157,1263
NO EQUIPMENT,119,1264
NO EQUIPMENT,117,1265
NO EQUIPMENT,116,1266
NO EQUIPMENT,469,1267
NO EQUIPMENT,366,1268
NO EQUIPMENT,367,1269
NO EQUIPMENT,368,1270
NO EQUIPMENT,369,1271
NO EQUIPMENT,370,1272
NO EQUIPMENT,371,1273
NO EQUIPMENT,372,1274
NO EQUIPMENT,373,1275
NO EQUIPMENT,374,1276
NO EQUIPMENT,375,1277
NO EQUIPMENT,276,1278
NO EQUIPMENT,273,1279
NO EQUIPMENT,270,1280
NO EQUIPMENT,268,1281
NO EQUIPMENT,266,1282
NO EQUIPMENT,246,1283
NO EQUIPMENT,213,1284
NO EQUIPMENT,470,1285
NO EQUIPMENT,471,1286
NO EQUIPMENT,376,1287
NO EQUIPMENT,377,1288
NO EQUIPMENT,378,1289
NO EQUIPMENT,379,1290
NO EQUIPMENT,380,1291
NO EQUIPMENT,381,1292
NO EQUIPMENT,382,1293
NO EQUIPMENT,383,1294
NO EQUIPMENT,384,1295
NO EQUIPMENT,212,1296
NO EQUIPMENT,472,1297
NO EQUIPMENT,473,1298
NO EQUIPMENT,385,1299
NO EQUIPMENT,386,1300
NO EQUIPMENT,387,1301
NO EQUIPMENT,388,1302
NO EQUIPMENT,389,1303
NO EQUIPMENT,390,1304
NO EQUIPMENT,391,1305
NO EQUIPMENT,392,1306
NO EQUIPMENT,393,1307
NO EQUIPMENT,211,1308
NO EQUIPMENT,474,1309
NO EQUIPMENT,475,1310
NO EQUIPMENT,394,1311
NO EQUIPMENT,395,1312
NO EQUIPMENT,396,1313
NO EQUIPMENT,397,1314
NO EQUIPMENT,398,1315
NO EQUIPMENT,399,1316
NO EQUIPMENT,400,1317
NO EQUIPMENT,401,1318
NO EQUIPMENT,402,1319
NO EQUIPMENT,248,1320
NO EQUIPMENT,210,1321
NO EQUIPMENT,476,1322
NO EQUIPMENT,477,1323
NO EQUIPMENT,403,1324
NO EQUIPMENT,404,1325
NO EQUIPMENT,405,1326
NO EQUIPMENT,478,1327
NO EQUIPMENT,406,1328
NO EQUIPMENT,407,1329
NO EQUIPMENT,408,1330
NO EQUIPMENT,479,1331
NO EQUIPMENT,409,1332
NO EQUIPMENT,410,1333
NO EQUIPMENT,411,1334
NO EQUIPMENT,167,1335
NO EQUIPMENT,166,1336
NO EQUIPMENT,105,1337
NO EQUIPMENT,104,1338
NO EQUIPMENT,480,1339
NO EQUIPMENT,412,1340
NO EQUIPMENT,413,1341
NO EQUIPMENT,414,1342
NO EQUIPMENT,415,1343
NO EQUIPMENT,416,1344
NO EQUIPMENT,417,1345
NO EQUIPMENT,418,1346
NO EQUIPMENT,209,1347
NO EQUIPMENT,204,1348
NO EQUIPMENT,419,1349
NO EQUIPMENT,420,1350
NO EQUIPMENT,421,1351
NO EQUIPMENT,422,1352
NO EQUIPMENT,423,1353
NO EQUIPMENT,424,1354
NO EQUIPMENT,425,1355
NO EQUIPMENT,426,1356
NO EQUIPMENT,208,1357
NO EQUIPMENT,203,1358
NO EQUIPMENT,427,1359
NO EQUIPMENT,428,1360
NO EQUIPMENT,429,1361
NO EQUIPMENT,430,1362
NO EQUIPMENT,431,1363
NO EQUIPMENT,432,1364
NO EQUIPMENT,433,1365
NO EQUIPMENT,434,1366
NO EQUIPMENT,207,1367
NO EQUIPMENT,202,1368
NO EQUIPMENT,481,1369
NO EQUIPMENT,435,1370
NO EQUIPMENT,436,1371
NO EQUIPMENT,437,1372
NO EQUIPMENT,438,1373
NO EQUIPMENT,439,1374
NO EQUIPMENT,440,1375
NO EQUIPMENT,441,1376
NO EQUIPMENT,442,1377
NO EQUIPMENT,206,1378
NO EQUIPMENT,201,1379
NO EQUIPMENT,482,1380
NO EQUIPMENT,165,1381
NO EQUIPMENT,177,1382
NO EQUIPMENT,176,1383
NO EQUIPMENT,175,1384
NO EQUIPMENT,174,1385
NO EQUIPMENT,173,1386
NO EQUIPMENT,172,1387
NO EQUIPMENT,162,1388
NO EQUIPMENT,106,1389
NO EQUIPMENT,483,1390
NO EQUIPMENT,443,1391
NO EQUIPMENT,444,1392
NO EQUIPMENT,112,1393
NO EQUIPMENT,114,1394
NO EQUIPMENT,445,1395
NO EQUIPMENT,446,1396
NO EQUIPMENT,447,1397
NO EQUIPMENT,448,1398
NO EQUIPMENT,171,1399
NO EQUIPMENT,170,1400
NO EQUIPMENT,103,1401
NO EQUIPMENT,102,1402
NO EQUIPMENT,51,1403
NO EQUIPMENT,225,1404
NO EQUIPMENT,226,1405
NO EQUIPMENT,227,1406
NO EQUIPMENT,224,1407
1100055026 S368 TANGKI PROFIL PT.06 T360,484,1408
1100055025 S367 TANGKI PROFIL PT.04 T360,484,1409
1100055024 S366 TANGKI PROFIL PT.02 T360,484,1410
1100037177 S365 TANGKI PROFIL PT.05 T360,484,1411
1100037126 S364 TANGKI PROFIL PT.03 T360,484,1412
1100055023 S363 TANGKI PROFIL PT.01 T360,484,1413
NO EQUIPMENT,484,1414
1100022362 JEMBATAN TIMBANG 60 TON,485,1415
1100022298 POMPA PORTABLE SHOWFOU,485,1416
1100116279 POMPA SANCHIN JET SPRAY TIMBANGAN 60T,485,1417
1100019299 Pompa Transfer,485,1418
NO EQUIPMENT,485,1419
1100015736 V402/S312 STORAGE TANK T310,486,1420
1100015899 V401/S311 STORAGE TANK T310,486,1421
1100055022 T311 MINI SCRUBBER,486,1422
1000005959 PANEL CONTROL POMPA PN 29,486,1423
1100012450 P402/P315 POMPA SIRKULASI MINI SCRUBBER,486,1424
1100012452 P401B/P312 POMPA UNLOADING HCL T310,486,1425
1100012451 P401A/P311 POMPA UNLOADING HCL T310,486,1426
1100012449 P101B/P313 POMPA TRANSFER HCL,486,1427
1100012448 P101A/P314 POMPA TRANSFER HCL T310,486,1428
NO EQUIPMENT,486,1429
1100022172 TANGKI ST-3,487,1430
1100022818 TANGKI ST-2,487,1431
1100022326 Pompa ST-3,487,1432
1100026628 Pompa ST.02,487,1433
1100012461 POMPA SENTRIFUGAL PRODUK,487,1434
1100017916 P-504/P333 Pompa Transfer Produk,487,1435
1100012460 P332/P-501B POMPA PENGISIAN PRODUK,487,1436
1100012459 P331/P-501A POMPA PENGISIAN PRODUK,487,1437
NO EQUIPMENT,487,1438
1000005981 PANEL POMPA P31 STORAGE TANK T310,488,1439
1100038367 P315 POMPA GROUND TANK AREA T310,488,1440
NO EQUIPMENT,488,1441
1100014013 B311 SCRUBBER C BLOWER T310,489,1442
NO EQUIPMENT,489,1443
1100014014 BL01 BALL VALVE BLOWER B311,490,1444
NO EQUIPMENT,490,1445
1100013911 P3122A/P301 TRANSFER PUMP LCB T310,491,1446
NO EQUIPMENT,491,1447
1100013915 BL01 BALL VALVE POMPA P301,492,1448
NO EQUIPMENT,492,1449
1100013916 BL02 BALL VALVE POMPA P301,493,1450
NO EQUIPMENT,493,1451
1100013917 BL03 BALL VALVE POMPA P301,494,1452
NO EQUIPMENT,494,1453
1100013918 BL04 BALL VALVE POMPA P301,495,1454
NO EQUIPMENT,495,1455
1100013919 BL05 BALL VALVE POMPA P301,496,1456
NO EQUIPMENT,496,1457
1100013920 BL06 BALL VALVE POMPA P301,497,1458
NO EQUIPMENT,497,1459
1100013912 CK01 CHECK VALVE POMPA P301,498,1460
NO EQUIPMENT,498,1461
1100013914 FJ01 FLEXIBLE JOINT POMPA P301,499,1462
NO EQUIPMENT,499,1463
1100013913 PG01 PRESSURE GAUGE POMPA P301,500,1464
NO EQUIPMENT,500,1465
1100013921 P3122B/P302 TRANSFER PUMP LCB T310,501,1466
NO EQUIPMENT,501,1467
1100013925 BL01 BALL VALVE POMPA P302,502,1468
NO EQUIPMENT,502,1469
1100013926 BL02 BALL VALVE POMPA P302,503,1470
NO EQUIPMENT,503,1471
1100013927 BL03 BALL VALVE POMPA P302,504,1472
NO EQUIPMENT,504,1473
1100013928 BL04 BALL VALVE POMPA P302,505,1474
NO EQUIPMENT,505,1475
1100013929 BL05 BALL VALVE POMPA P302,506,1476
NO EQUIPMENT,506,1477
1100013930 BL06 BALL VALVE POMPA P302,507,1478
NO EQUIPMENT,507,1479
1100013922 CK01 CHECK VALVE POMPA P302,508,1480
NO EQUIPMENT,508,1481
1100013924 FJ01 FLEXIBLE JOINT POMPA P302,509,1482
NO EQUIPMENT,509,1483
1100013923 PG01 PRESSURE GAUGE POMPA P302,510,1484
NO EQUIPMENT,510,1485
1100013931 P3122C/P303 TRANSFER PUMP LCB T310,511,1486
NO EQUIPMENT,511,1487
1100013935 BL01 BALL VALVE POMPA P303,512,1488
NO EQUIPMENT,512,1489
1100013936 BL02 BALL VALVE POMPA P303,513,1490
NO EQUIPMENT,513,1491
1100013937 BL03 BALL VALVE POMPA P303,514,1492
NO EQUIPMENT,514,1493
1100013938 BL04 BALL VALVE POMPA P303,515,1494
NO EQUIPMENT,515,1495
1100013939 BL05 BALL VALVE POMPA P303,516,1496
NO EQUIPMENT,516,1497
1100013940 BL06 BALL VALVE POMPA P303,517,1498
NO EQUIPMENT,517,1499
1100013932 CK01 CHECK VALVE POMPA P303,518,1500
NO EQUIPMENT,518,1501
1100013934 FJ01 FLEXIBLE JOINT POMPA P303,519,1502
NO EQUIPMENT,519,1503
1100013933 PG01 PRESSURE GAUGE POMPA P303,520,1504
NO EQUIPMENT,520,1505
1100013941 P304 TRANSFER PUMP LCB T310,521,1506
NO EQUIPMENT,521,1507
1100013945 BL01 BALL VALVE POMPA P304,522,1508
NO EQUIPMENT,522,1509
1100013946 BL02 BALL VALVE POMPA P304,523,1510
NO EQUIPMENT,523,1511
1100013947 BL03 BALL VALVE POMPA P304,524,1512
NO EQUIPMENT,524,1513
1100013948 BL04 BALL VALVE POMPA P304,525,1514
NO EQUIPMENT,525,1515
1100013949 BL05 BALL VALVE POMPA P304,526,1516
NO EQUIPMENT,526,1517
1100013950 BL06 BALL VALVE POMPA P304,527,1518
NO EQUIPMENT,527,1519
1100013951 BL07 BALL VALVE POMPA P304,528,1520
NO EQUIPMENT,528,1521
1100013952 BL08 BALL VALVE POMPA P304,529,1522
NO EQUIPMENT,529,1523
1100013942 CK01 CHECK VALVE POMPA P304,530,1524
NO EQUIPMENT,530,1525
1100013944 FJ01 FLEXIBLE JOINT POMPA P304,531,1526
NO EQUIPMENT,531,1527
1100013943 PG01 PRESSURE GAUGE POMPA P304,532,1528
NO EQUIPMENT,532,1529
1100013953 P3123B/P305 TRANSFER PUMP LCB T310,533,1530
NO EQUIPMENT,533,1531
1100013956 BL01 BALL VALVE POMPA P305,534,1532
NO EQUIPMENT,534,1533
1100013957 BL02 BALL VALVE POMPA P305,535,1534
NO EQUIPMENT,535,1535
1100013958 BL03 BALL VALVE POMPA P305,536,1536
NO EQUIPMENT,536,1537
1100013959 BL04 BALL VALVE POMPA P305,537,1538
NO EQUIPMENT,537,1539
1100013954 CK01 CHECK VALVE POMPA P305,538,1540
NO EQUIPMENT,538,1541
1100013955 FJ01 FLEXIBLE JOINT POMPA P305,539,1542
NO EQUIPMENT,539,1543
1100013960 P3123A/P306 TRANSFER PUMP LCB T310,540,1544
NO EQUIPMENT,540,1545
1100013964 BL01 BALL VALVE POMPA P306,541,1546
NO EQUIPMENT,541,1547
1100013965 BL02 BALL VALVE POMPA P306,542,1548
NO EQUIPMENT,542,1549
1100013966 BL03 BALL VALVE POMPA P306,543,1550
NO EQUIPMENT,543,1551
1100013967 BL04 BALL VALVE POMPA P306,544,1552
NO EQUIPMENT,544,1553
1100013968 BL05 BALL VALVE POMPA P306,545,1554
NO EQUIPMENT,545,1555
1100013969 BL06 BALL VALVE POMPA P306,546,1556
NO EQUIPMENT,546,1557
1100013970 BL07 BALL VALVE POMPA P306,547,1558
NO EQUIPMENT,547,1559
1100013971 BL08 BALL VALVE POMPA P306,548,1560
NO EQUIPMENT,548,1561
1100013961 CK01 CHECK VALVE POMPA P306,549,1562
NO EQUIPMENT,549,1563
1100013963 FJ01 FLEXIBLE JOINT POMPA P306,550,1564
NO EQUIPMENT,550,1565
1100013962 PG01 PRESSURE GAUGE POMPA P306,551,1566
NO EQUIPMENT,551,1567
1100014000 BL01 BALL VALVE POMPA P307,552,1568
NO EQUIPMENT,552,1569
1100014001 BL02 BALL VALVE POMPA P307,553,1570
NO EQUIPMENT,553,1571
1100014002 BL03 BALL VALVE POMPA P307,554,1572
NO EQUIPMENT,554,1573
1100014003 BL04 BALL VALVE POMPA P307,555,1574
NO EQUIPMENT,555,1575
1100014004 BL05 BALL VALVE POMPA P307,556,1576
NO EQUIPMENT,556,1577
1100014005 BL06 BALL VALVE POMPA P307,557,1578
NO EQUIPMENT,557,1579
1100013998 CK01 CHECK VALVE POMPA P307,558,1580
NO EQUIPMENT,558,1581
1100013999 FJ01 FLEXIBLE JOINT POMPA P307,559,1582
NO EQUIPMENT,559,1583
1100013997 PG01 PRESSURE GAUGE POMPA P307,560,1584
NO EQUIPMENT,560,1585
1100061723 P308 LCB Transfer Pump V3112 to Hinco,561,1586
NO EQUIPMENT,561,1587
1100014009 BL01 BALL VALVE POMPA P308,562,1588
NO EQUIPMENT,562,1589
1100014010 BL02 BALL VALVE POMPA P308,563,1590
NO EQUIPMENT,563,1591
1100014011 BL03 BALL VALVE POMPA P308,564,1592
NO EQUIPMENT,564,1593
1100014012 BL04 BALL VALVE POMPA P308,565,1594
NO EQUIPMENT,565,1595
1100014007 CK01 CHECK VALVE POMPA P308,566,1596
NO EQUIPMENT,566,1597
1100014008 FJ01 FLEXIBLE JOINT POMPA P308,567,1598
NO EQUIPMENT,567,1599
1100013996 P3142A/P309 TRANSFER PUMP LCB T310,568,1600
NO EQUIPMENT,568,1601
1100014019 BL01 BALL VALVE POMPA P309,569,1602
NO EQUIPMENT,569,1603
1100014020 BL02 BALL VALVE POMPA P309,570,1604
NO EQUIPMENT,570,1605
1100014021 BL03 BALL VALVE POMPA P309,571,1606
NO EQUIPMENT,571,1607
1100014022 BL04 BALL VALVE POMPA P309,572,1608
NO EQUIPMENT,572,1609
1100014023 BL05 BALL VALVE POMPA P309,573,1610
NO EQUIPMENT,573,1611
1100014024 BL06 BALL VALVE POMPA P309,574,1612
NO EQUIPMENT,574,1613
1100014025 BL07 BALL VALVE POMPA P309,575,1614
NO EQUIPMENT,575,1615
1100014017 CK01 CHECK VALVE POMPA P309,576,1616
NO EQUIPMENT,576,1617
1100014018 FJ01 FLEXIBLE JOINT POMPA P309,577,1618
NO EQUIPMENT,577,1619
1100014016 PG01 PRESSURE GAUGE POMPA P309,578,1620
NO EQUIPMENT,578,1621
1100014006 P3142B/P310 TRANSFER PUMP LCB T310,579,1622
NO EQUIPMENT,579,1623
1100014029 BL01 BALL VALVE POMPA P310,580,1624
NO EQUIPMENT,580,1625
1100014030 BL02 BALL VALVE POMPA P310,581,1626
NO EQUIPMENT,581,1627
1100014031 BL03 BALL VALVE POMPA P310,582,1628
NO EQUIPMENT,582,1629
1100014032 BL04 BALL VALVE POMPA P310,583,1630
NO EQUIPMENT,583,1631
1100014027 CK01 CHECK VALVE POMPA P310,584,1632
NO EQUIPMENT,584,1633
1100014028 FJ01 FLEXIBLE JOINT POMPA P310,585,1634
NO EQUIPMENT,585,1635
1100014033 P3141A/P311 LAD TRANSFER PUMP T310,586,1636
NO EQUIPMENT,586,1637
1100014037 BL01 BALL VALVE POMPA P311,587,1638
NO EQUIPMENT,587,1639
1100014038 BL02 BALL VALVE POMPA P311,588,1640
NO EQUIPMENT,588,1641
1100014039 BL03 BALL VALVE POMPA P311,589,1642
NO EQUIPMENT,589,1643
1100014040 BL04 BALL VALVE POMPA P311,590,1644
NO EQUIPMENT,590,1645
1100014041 BL05 BALL VALVE POMPA P311,591,1646
NO EQUIPMENT,591,1647
1100014034 CK01 CHECK VALVE POMPA P311,592,1648
NO EQUIPMENT,592,1649
1100014035 FJ01 FLEXIBLE JOINT POMPA P311,593,1650
NO EQUIPMENT,593,1651
1100014036 PG01 PRESSURE GAUGE POMPA P311,594,1652
NO EQUIPMENT,594,1653
1100014042 P3141B/P312 LAD TRANSFER PUMP T310,595,1654
NO EQUIPMENT,595,1655
1100014045 BL01 BALL VALVE POMPA P312,596,1656
NO EQUIPMENT,596,1657
1100014046 BL02 BALL VALVE POMPA P312,597,1658
NO EQUIPMENT,597,1659
1100014047 BL03 BALL VALVE POMPA P312,598,1660
NO EQUIPMENT,598,1661
1100014048 BL04 BALL VALVE POMPA P312,599,1662
NO EQUIPMENT,599,1663
1100014043 CK01 CHECK VALVE POMPA P312,600,1664
NO EQUIPMENT,600,1665
1100014044 FJ01 FLEXIBLE JOINT POMPA P312,601,1666
NO EQUIPMENT,601,1667
1100014015 P3161A/P313 SCRUBBER PUMP LAD T310,602,1668
NO EQUIPMENT,602,1669
1100014026 P3161B/P314 SCRUBBER PUMP LAD T310,603,1670
NO EQUIPMENT,603,1671
1100013972 T3161/T311 SCRUBBER C,604,1672
NO EQUIPMENT,604,1673
1100013974 BL01 BALL VALVE SCRUBBER C T311,605,1674
NO EQUIPMENT,605,1675
1100013975 BL02 BALL VALVE SCRUBBER C T311,606,1676
NO EQUIPMENT,606,1677
1100013976 BL03 BALL VALVE SCRUBBER C T311,607,1678
NO EQUIPMENT,607,1679
1100013977 BL04 BALL VALVE SCRUBBER C T311,608,1680
NO EQUIPMENT,608,1681
1100013978 BL05 BALL VALVE SCRUBBER C T311,609,1682
NO EQUIPMENT,609,1683
1100013979 BL06 BALL VALVE SCRUBBER C T311,610,1684
NO EQUIPMENT,610,1685
1100013980 BL07 BALL VALVE SCRUBBER C T311,611,1686
NO EQUIPMENT,611,1687
1100013981 BL08 BALL VALVE SCRUBBER C T311,612,1688
NO EQUIPMENT,612,1689
1100013973 LG01 LEVEL GAUGE SCRUBBER C T311,613,1690
NO EQUIPMENT,613,1691
1100013855 V3111/V311 STORAGE TANK LCB T310,614,1692
NO EQUIPMENT,614,1693
1100013871 BF01 BUTTERFLY VALVE TANKI V311,615,1694
NO EQUIPMENT,615,1695
1100013872 BF02 BUTTERFLY VALVE TANKI V311,616,1696
NO EQUIPMENT,616,1697
1100013856 BL01 BALL VALVE TANKI V311,617,1698
NO EQUIPMENT,617,1699
1100013857 BL02 BALL VALVE TANKI V311,618,1700
NO EQUIPMENT,618,1701
1100013858 BL03 BALL VALVE TANKI V311,619,1702
NO EQUIPMENT,619,1703
1100013859 BL04 BALL VALVE TANKI V311,620,1704
NO EQUIPMENT,620,1705
1100013860 BL05 BALL VALVE TANKI V311,621,1706
NO EQUIPMENT,621,1707
1100013861 BL06 BALL VALVE TANKI V311,622,1708
NO EQUIPMENT,622,1709
1100013862 BL07 BALL VALVE TANKI V311,623,1710
NO EQUIPMENT,623,1711
1100013863 BL08 BALL VALVE TANKI V311,624,1712
NO EQUIPMENT,624,1713
1100013864 BL09 BALL VALVE TANKI V311,625,1714
NO EQUIPMENT,625,1715
1100013865 BL10 BALL VALVE TANKI V311,626,1716
NO EQUIPMENT,626,1717
1100013866 BL11 BALL VALVE TANKI V311,627,1718
NO EQUIPMENT,627,1719
1100013867 BL12 BALL VALVE TANKI V311,628,1720
NO EQUIPMENT,628,1721
1100013868 BL13 BALL VALVE TANKI V311,629,1722
NO EQUIPMENT,629,1723
1100013869 BL14 BALL VALVE TANKI V311,630,1724
NO EQUIPMENT,630,1725
1100013870 LG01 LEVEL GAUGE TANKI V311,631,1726
NO EQUIPMENT,631,1727
1100013873 V3112/V312 STORAGE TANK LCB T310,632,1728
NO EQUIPMENT,632,1729
1100013889 BF01 BUTTERFLY VALVE TANKI V312,633,1730
NO EQUIPMENT,633,1731
1100013890 BF02 BUTTERFLY VALVE TANKI V312,634,1732
NO EQUIPMENT,634,1733
1100013874 BL01 BALL VALVE TANKI V312,635,1734
NO EQUIPMENT,635,1735
1100013875 BL02 BALL VALVE TANKI V312,636,1736
NO EQUIPMENT,636,1737
1100013876 BL03 BALL VALVE TANKI V312,637,1738
NO EQUIPMENT,637,1739
1100013877 BL04 BALL VALVE TANKI V312,638,1740
NO EQUIPMENT,638,1741
1100013878 BL05 BALL VALVE TANKI V312,639,1742
NO EQUIPMENT,639,1743
1100013879 BL06 BALL VALVE TANKI V312,640,1744
NO EQUIPMENT,640,1745
1100013880 BL07 BALL VALVE TANKI V312,641,1746
NO EQUIPMENT,641,1747
1100013881 BL08 BALL VALVE TANKI V312,642,1748
NO EQUIPMENT,642,1749
1100013882 BL09 BALL VALVE TANKI V312,643,1750
NO EQUIPMENT,643,1751
1100013883 BL10 BALL VALVE TANKI V312,644,1752
NO EQUIPMENT,644,1753
1100013884 BL11 BALL VALVE TANKI V312,645,1754
NO EQUIPMENT,645,1755
1100013885 BL12 BALL VALVE TANKI V312,646,1756
NO EQUIPMENT,646,1757
1100013886 BL13 BALL VALVE TANKI V312,647,1758
NO EQUIPMENT,647,1759
1100013887 BL14 BALL VALVE TANKI V312,648,1760
NO EQUIPMENT,648,1761
1100013888 LG01 LEVEL GAUGE TANKI V312,649,1762
NO EQUIPMENT,649,1763
1100013891 V3113/V313 STORAGE TANK LCB T310,650,1764
NO EQUIPMENT,650,1765
1100013909 BF01 BUTTERFLY VALVE TANKI V313,651,1766
NO EQUIPMENT,651,1767
1100013910 BF02 BUTTERFLY VALVE TANKI V313,652,1768
NO EQUIPMENT,652,1769
1100013892 BL01 BALL VALVE TANKI V313,653,1770
NO EQUIPMENT,653,1771
1100013893 BL02 BALL VALVE TANKI V313,654,1772
NO EQUIPMENT,654,1773
1100013894 BL03 BALL VALVE TANKI V313,655,1774
NO EQUIPMENT,655,1775
1100013895 BL04 BALL VALVE TANKI V313,656,1776
NO EQUIPMENT,656,1777
1100013896 BL05 BALL VALVE TANKI V313,657,1778
NO EQUIPMENT,657,1779
1100013897 BL06 BALL VALVE TANKI V313,658,1780
NO EQUIPMENT,658,1781
1100013898 BL07 BALL VALVE TANKI V313,659,1782
NO EQUIPMENT,659,1783
1100013899 BL08 BALL VALVE TANKI V313,660,1784
NO EQUIPMENT,660,1785
1100013900 BL09 BALL VALVE TANKI V313,661,1786
NO EQUIPMENT,661,1787
1100013901 BL10 BALL VALVE TANKI V313,662,1788
NO EQUIPMENT,662,1789
1100013902 BL11 BALL VALVE TANKI V313,663,1790
NO EQUIPMENT,663,1791
1100013903 BL12 BALL VALVE TANKI V313,664,1792
NO EQUIPMENT,664,1793
1100013904 BL13 BALL VALVE TANKI V313,665,1794
NO EQUIPMENT,665,1795
1100013905 BL14 BALL VALVE TANKI V313,666,1796
NO EQUIPMENT,666,1797
1100013906 BL15 BALL VALVE TANKI V313,667,1798
NO EQUIPMENT,667,1799
1100013907 BL16 BALL VALVE TANKI V313,668,1800
NO EQUIPMENT,668,1801
1100013908 LG01 LEVEL GAUGE TANKI V313,669,1802
NO EQUIPMENT,669,1803
1100013982 V3131/V314 STORAGE TANK LCB T310,670,1804
NO EQUIPMENT,670,1805
1100013984 BF01 BUTTERFLY VALVE TANKI V314,671,1806
NO EQUIPMENT,671,1807
1100013985 BF02 BUTTERFLY VALVE TANKI V314,672,1808
